id,location,latitude,longitude,time_of_day,weather,road_type,traffic_density,accident_count,risk_level
1789,Pratap Nagar,21.12758,79.06477,12,Clear,Junction,High,3,Medium
1790,Zero Mile,21.15766,79.10411,19,Clear,Junction,Low,3,Medium
1791,Itwari,21.17043,79.09697,1,Cloudy,Urban,High,6,High
1792,Sadar,21.15225,79.06765,8,Fog,Ring Road,Medium,3,Medium
1793,Nandanvan,21.14751,79.10847,17,Clear,City Road,Low,8,Low
1794,Mankapur,21.11376,79.03161,22,Clear,Urban,Medium,3,Medium
1795,Nagpur Railway Stn,21.14257,79.0995,9,Cloudy,Urban,High,1,Low
1796,Ambazari,21.12901,78.99138,18,Rain,City Road,Low,5,Medium
1797,Beltarodi,21.07125,79.03922,12,Clear,City Road,Low,5,Low
1798,Koradi,21.25288,79.01211,0,Haze,Urban,High,5,High
1799,Butibori,20.95641,79.06114,16,Clear,Highway,Low,4,Medium
1800,MIDC Hingna,21.09306,79.01587,14,Clear,Flyover,Low,11,Medium
1801,Sitabuldi Junction,21.12709,79.07355,0,Rain,Highway,High,5,High
1802,Wardha Road,21.10398,79.04852,16,Rain,Junction,High,5,High
1803,Hingna T Point,21.08349,78.98871,11,Rain,Junction,Low,5,Medium
1804,Chatrapati Square,21.11762,79.1107,10,Haze,Flyover,Low,7,Medium
1805,Ravi Nagar,21.12967,79.06548,20,Rain,Highway,Low,4,High
1806,Dharampeth,21.11493,79.08452,10,Cloudy,Junction,Medium,3,Medium
1807,Civil Lines,21.15668,79.09693,20,Haze,Junction,High,2,High
1808,Trimurti Nagar,21.14852,79.06078,15,Rain,City Road,Medium,6,Medium
1809,Pratap Nagar,21.10701,79.06985,3,Cloudy,Flyover,Medium,8,High
1810,Zero Mile,21.12697,79.09368,15,Clear,Junction,Medium,4,Medium
1811,Itwari,21.16947,79.08861,2,Haze,Highway,Medium,8,High
1812,Sadar,21.13226,79.0948,18,Fog,Junction,Medium,10,High
1813,Nandanvan,21.11063,79.11908,1,Cloudy,Highway,Medium,5,Medium
1814,Mankapur,21.12511,79.05241,7,Clear,Urban,Medium,4,Low
1815,Nagpur Railway Stn,21.16471,79.08889,23,Fog,Urban,Low,1,Medium
1816,Ambazari,21.1097,78.99613,16,Rain,Junction,High,3,High
1817,Beltarodi,21.07207,79.02122,11,Rain,Highway,High,4,Medium
1818,Koradi,21.25217,78.99405,17,Cloudy,Ring Road,Medium,4,Medium
1819,Butibori,20.95935,79.06851,0,Clear,City Road,High,4,Medium
1820,MIDC Hingna,21.10021,78.98074,14,Fog,Junction,High,5,High
1821,Sitabuldi Junction,21.13724,79.08793,21,Clear,Ring Road,High,8,Medium
1822,Wardha Road,21.10902,79.07065,8,Clear,Urban,Medium,6,Low
1823,Hingna T Point,21.09171,78.99936,2,Rain,Ring Road,Medium,4,High
1824,Chatrapati Square,21.10847,79.1121,3,Fog,Urban,Low,5,Medium
1825,Ravi Nagar,21.15442,79.06331,4,Clear,Highway,High,7,Medium
1826,Dharampeth,21.13813,79.06009,11,Fog,Junction,Medium,6,Medium
1827,Civil Lines,21.16908,79.09308,19,Rain,City Road,High,3,Medium
1828,Trimurti Nagar,21.15754,79.04202,0,Clear,Junction,High,5,High
1829,Pratap Nagar,21.09755,79.04384,11,Clear,Highway,Low,6,Low
1830,Zero Mile,21.16619,79.09872,18,Rain,Urban,High,3,Medium
1831,Itwari,21.14894,79.0916,2,Clear,Urban,Medium,5,Medium
1832,Sadar,21.15928,79.08188,20,Rain,Junction,Low,4,High
1833,Nandanvan,21.12037,79.12794,12,Clear,Junction,Medium,4,Medium
1834,Mankapur,21.1213,79.0427,19,Rain,Junction,Medium,4,Medium
1835,Nagpur Railway Stn,21.14021,79.0955,11,Rain,Junction,Medium,4,High
1836,Ambazari,21.14081,78.98713,20,Clear,Junction,Low,2,Medium
1837,Beltarodi,21.05186,79.03043,9,Haze,Junction,Low,4,Medium
1838,Koradi,21.25876,78.99167,17,Haze,Urban,Medium,3,Medium
1839,Butibori,20.98682,79.04337,9,Clear,Junction,High,2,Medium
1840,MIDC Hingna,21.07,79.01727,4,Clear,Urban,High,4,Medium
1841,Sitabuldi Junction,21.15332,79.09342,17,Rain,Ring Road,Medium,2,Medium
1842,Wardha Road,21.10668,79.06733,13,Fog,Ring Road,Low,6,Medium
1843,Hingna T Point,21.09763,78.99377,0,Fog,Junction,Low,2,High
1844,Chatrapati Square,21.11707,79.08902,13,Rain,City Road,Medium,7,Medium
1845,Ravi Nagar,21.15272,79.0531,2,Cloudy,Junction,Medium,4,High
1846,Dharampeth,21.12498,79.07262,18,Haze,City Road,High,3,Medium
1847,Civil Lines,21.14092,79.09857,15,Cloudy,City Road,Medium,6,Low
1848,Trimurti Nagar,21.15401,79.05342,3,Rain,Urban,High,5,High
1849,Pratap Nagar,21.1026,79.06077,22,Haze,Junction,High,5,High
1850,Zero Mile,21.15776,79.10178,9,Haze,Highway,Medium,5,Medium
1851,Itwari,21.15438,79.09905,15,Clear,Highway,High,1,Medium
1852,Sadar,21.13678,79.07445,18,Fog,Ring Road,Low,2,Medium
1853,Nandanvan,21.12252,79.10135,12,Haze,City Road,Medium,6,Medium
1854,Mankapur,21.12613,79.02686,15,Clear,Urban,Low,2,Low
1855,Nagpur Railway Stn,21.1352,79.10349,4,Haze,Highway,High,7,High
1856,Ambazari,21.14105,78.9857,3,Rain,Highway,Low,3,High
1857,Beltarodi,21.07225,79.02104,22,Clear,Urban,High,3,Medium
1858,Koradi,21.25792,78.99583,3,Fog,Urban,High,5,High
1859,Butibori,20.97821,79.0494,6,Clear,Junction,Medium,5,Medium
1860,MIDC Hingna,21.10175,78.99743,20,Haze,Highway,High,7,High
1861,Sitabuldi Junction,21.14144,79.07934,23,Clear,Highway,Low,4,Medium
1862,Wardha Road,21.07787,79.06823,21,Rain,Urban,Medium,5,High
1863,Hingna T Point,21.08732,78.99578,4,Clear,Urban,Low,6,Low
1864,Chatrapati Square,21.13693,79.10371,14,Clear,Junction,Low,6,Low
1865,Ravi Nagar,21.11928,79.06551,19,Cloudy,Flyover,Low,3,Medium
1866,Dharampeth,21.1476,79.07181,11,Rain,Junction,Low,5,Medium
1867,Civil Lines,21.15471,79.09753,23,Fog,Highway,High,6,High
1868,Trimurti Nagar,21.12961,79.03437,19,Fog,Flyover,Medium,3,High
1869,Pratap Nagar,21.12713,79.04777,11,Fog,City Road,Low,4,Low
1870,Zero Mile,21.15509,79.085,15,Fog,Highway,Medium,3,Medium
1871,Itwari,21.16755,79.11452,12,Clear,Highway,Low,3,Low
1872,Sadar,21.1487,79.08755,5,Cloudy,Junction,Medium,8,High
1873,Nandanvan,21.13474,79.10274,21,Clear,Ring Road,Low,3,Medium
1874,Mankapur,21.13536,79.04175,21,Clear,Ring Road,Medium,7,Medium
1875,Nagpur Railway Stn,21.15016,79.09465,8,Clear,Highway,Low,5,Low
1876,Ambazari,21.14545,78.99428,16,Rain,City Road,Low,3,Low
1877,Beltarodi,21.08869,79.01058,5,Clear,Flyover,High,2,High
1878,Koradi,21.26759,79.00576,0,Clear,Flyover,Medium,6,High
1879,Butibori,20.97351,79.03808,20,Rain,Urban,Medium,6,High
1880,MIDC Hingna,21.07702,79.00785,17,Clear,Flyover,Medium,4,Medium
1881,Sitabuldi Junction,21.1369,79.09408,15,Clear,Urban,Low,5,Low
1882,Wardha Road,21.07914,79.05723,19,Haze,Junction,High,8,High
1883,Hingna T Point,21.11021,78.98621,18,Rain,Junction,Medium,6,High
1884,Chatrapati Square,21.1104,79.1104,11,Fog,Highway,High,5,High
1885,Ravi Nagar,21.12891,79.06643,4,Fog,Urban,High,3,High
1886,Dharampeth,21.11618,79.05762,14,Rain,Junction,High,3,High
1887,Civil Lines,21.15024,79.09909,0,Fog,Urban,Low,8,Medium
1888,Trimurti Nagar,21.14666,79.06032,16,Cloudy,Urban,Low,4,Low
1889,Pratap Nagar,21.13437,79.05369,2,Fog,Junction,Medium,8,High
1890,Zero Mile,21.15727,79.09013,4,Clear,Highway,Medium,5,Medium
1891,Itwari,21.16523,79.08559,13,Rain,Urban,Low,4,Medium
1892,Sadar,21.15045,79.08974,17,Fog,City Road,Medium,8,Medium
1893,Nandanvan,21.11735,79.10916,9,Fog,City Road,Medium,6,Medium
1894,Mankapur,21.11256,79.02474,0,Clear,Flyover,High,5,High
1895,Nagpur Railway Stn,21.16535,79.07111,16,Fog,Highway,Medium,9,Medium
1896,Ambazari,21.12027,79.0081,15,Clear,City Road,High,7,Low
1897,Beltarodi,21.08424,79.04015,2,Fog,City Road,Low,5,Medium
1898,Koradi,21.2672,78.99586,6,Haze,City Road,Low,8,Low
1899,Butibori,20.97009,79.05824,8,Clear,Highway,Medium,5,Medium
1900,MIDC Hingna,21.1058,79.0192,23,Clear,Urban,Low,3,Medium
1901,Sitabuldi Junction,21.13204,79.08671,11,Clear,Urban,High,2,Low
1902,Wardha Road,21.07274,79.05665,22,Clear,City Road,Medium,7,Medium
1903,Hingna T Point,21.11807,78.97333,8,Clear,Flyover,High,4,Medium
1904,Chatrapati Square,21.10143,79.09506,22,Clear,Flyover,Medium,8,High
1905,Ravi Nagar,21.13235,79.04797,21,Clear,Urban,High,5,Medium
1906,Dharampeth,21.12789,79.05383,0,Clear,Junction,Medium,4,Medium
1907,Civil Lines,21.13951,79.10239,10,Cloudy,City Road,High,5,Low
1908,Trimurti Nagar,21.15259,79.05175,4,Rain,Urban,Medium,3,Medium
1909,Pratap Nagar,21.09672,79.03962,0,Haze,City Road,High,5,High
1910,Zero Mile,21.13247,79.08646,9,Clear,Junction,Medium,3,Medium
1911,Itwari,21.1688,79.10727,9,Rain,City Road,High,1,Medium
1912,Sadar,21.13178,79.08736,12,Rain,Junction,Low,2,Medium
1913,Nandanvan,21.13399,79.13738,22,Fog,Highway,Medium,5,High
1914,Mankapur,21.10498,79.04615,5,Rain,Flyover,High,5,High
1915,Nagpur Railway Stn,21.16413,79.10477,6,Fog,Ring Road,High,0,Medium
1916,Ambazari,21.12269,78.98279,17,Haze,Ring Road,Low,4,Low
1917,Beltarodi,21.06123,79.0346,3,Fog,Ring Road,Medium,2,High
1918,Koradi,21.26504,79.01756,9,Clear,Highway,Medium,5,Low
1919,Butibori,20.95984,79.03905,17,Rain,Highway,High,4,High
1920,MIDC Hingna,21.10459,78.98999,0,Clear,Highway,Low,5,Medium
1921,Sitabuldi Junction,21.13344,79.08439,10,Clear,Highway,High,3,Medium
1922,Wardha Road,21.0919,79.0736,19,Clear,City Road,Low,5,Low
1923,Hingna T Point,21.08506,78.98687,6,Haze,Junction,Low,2,Medium
1924,Chatrapati Square,21.10899,79.09995,4,Cloudy,Flyover,Low,3,Medium
1925,Ravi Nagar,21.14663,79.04137,21,Clear,City Road,High,3,Medium
1926,Dharampeth,21.11519,79.05799,1,Cloudy,Junction,High,0,High
1927,Civil Lines,21.14288,79.07086,18,Clear,Junction,Medium,3,Medium
1928,Trimurti Nagar,21.13686,79.05295,21,Clear,Highway,Medium,4,Medium
1929,Pratap Nagar,21.11442,79.06396,22,Clear,Flyover,Medium,4,Medium
1930,Zero Mile,21.13201,79.08945,10,Rain,Junction,Low,4,Medium
1931,Itwari,21.16344,79.11835,15,Haze,Junction,High,2,Medium
1932,Sadar,21.14465,79.07778,5,Cloudy,City Road,Medium,4,Medium
1933,Nandanvan,21.13138,79.11993,21,Clear,Urban,Medium,2,Medium
1934,Mankapur,21.13474,79.02384,1,Clear,Flyover,High,2,High
1935,Nagpur Railway Stn,21.15433,79.09075,12,Fog,Highway,Low,4,Medium
1936,Ambazari,21.14336,78.97986,23,Clear,Highway,Low,3,Medium
1937,Beltarodi,21.06043,79.02573,22,Cloudy,Highway,Low,4,Medium
1938,Koradi,21.2458,78.98992,19,Rain,Junction,Medium,2,High
1939,Butibori,20.98778,79.04574,20,Clear,Urban,Medium,2,Medium
1940,MIDC Hingna,21.09963,79.01114,5,Cloudy,Urban,High,6,Medium
1941,Sitabuldi Junction,21.15824,79.09487,4,Haze,Urban,High,5,High
1942,Wardha Road,21.08596,79.049,2,Clear,City Road,High,2,Medium
1943,Hingna T Point,21.08774,78.96323,7,Rain,Highway,Low,2,Medium
1944,Chatrapati Square,21.12649,79.09198,10,Clear,City Road,Medium,4,Low
1945,Ravi Nagar,21.14069,79.05876,19,Haze,Junction,Low,3,Medium
1946,Dharampeth,21.14789,79.08807,16,Clear,Ring Road,High,3,Low
1947,Civil Lines,21.13495,79.10018,4,Haze,Urban,High,5,High
1948,Trimurti Nagar,21.14393,79.04648,10,Haze,Highway,Low,2,Medium
1949,Pratap Nagar,21.10029,79.03491,10,Clear,Junction,Low,3,Medium
1950,Zero Mile,21.14942,79.07253,14,Fog,City Road,Medium,4,Medium
1951,Itwari,21.15311,79.08164,13,Fog,Urban,Medium,2,Medium
1952,Sadar,21.13252,79.08998,23,Clear,Highway,Medium,6,High
1953,Nandanvan,21.1212,79.12171,6,Clear,Urban,Medium,2,Low
1954,Mankapur,21.13282,79.04173,19,Clear,Flyover,Medium,8,Medium
1955,Nagpur Railway Stn,21.15157,79.07118,20,Rain,Highway,Medium,5,High
1956,Ambazari,21.13947,79.00917,2,Clear,Flyover,Low,0,Medium
1957,Beltarodi,21.05087,79.04975,22,Clear,Junction,High,3,High
1958,Koradi,21.24573,79.0127,1,Rain,Highway,Medium,2,High
1959,Butibori,20.95953,79.06079,23,Rain,Ring Road,High,2,High
1960,MIDC Hingna,21.08952,78.99913,7,Haze,Highway,High,6,Medium
1961,Sitabuldi Junction,21.15996,79.10654,0,Rain,Junction,Medium,4,High
1962,Wardha Road,21.10362,79.0736,2,Haze,City Road,High,2,High
1963,Hingna T Point,21.09303,78.96258,7,Rain,Junction,Low,4,Medium
1964,Chatrapati Square,21.13315,79.10585,18,Clear,Ring Road,High,2,Medium
1965,Ravi Nagar,21.14772,79.04481,17,Cloudy,Junction,Low,1,Medium
1966,Dharampeth,21.1153,79.07132,5,Clear,City Road,High,1,Medium
1967,Civil Lines,21.1634,79.06623,8,Rain,Flyover,Low,6,Medium
1968,Trimurti Nagar,21.1499,79.03008,11,Cloudy,Ring Road,High,7,Low
1969,Pratap Nagar,21.10968,79.03378,12,Clear,Urban,Medium,6,Low
1970,Zero Mile,21.14718,79.09339,0,Clear,Ring Road,High,6,Medium
1971,Itwari,21.17765,79.08138,3,Rain,City Road,Medium,2,Medium
1972,Sadar,21.14633,79.06404,21,Clear,Ring Road,Medium,5,Medium
1973,Nandanvan,21.14949,79.13414,21,Clear,Highway,Low,3,Medium
1974,Mankapur,21.13752,79.03138,10,Cloudy,Flyover,High,4,Medium
1975,Nagpur Railway Stn,21.1294,79.08481,11,Rain,Ring Road,High,4,Medium
1976,Ambazari,21.13845,78.99113,0,Haze,City Road,Medium,3,Medium
1977,Beltarodi,21.075,79.03869,16,Clear,Junction,Medium,4,Medium
1978,Koradi,21.26565,78.98819,22,Clear,Junction,Medium,4,High
1979,Butibori,20.98732,79.0683,12,Rain,Ring Road,Medium,4,Medium
1980,MIDC Hingna,21.08812,78.98088,12,Haze,Highway,High,3,Medium
1981,Sitabuldi Junction,21.15752,79.08454,7,Cloudy,Junction,Medium,7,Medium
1982,Wardha Road,21.1082,79.05074,0,Clear,Flyover,Medium,6,High
1983,Hingna T Point,21.08892,78.97106,1,Fog,Ring Road,Medium,4,Medium
1984,Chatrapati Square,21.13939,79.07897,10,Rain,Highway,Medium,5,Medium
1985,Ravi Nagar,21.15474,79.05454,8,Cloudy,Junction,High,5,Medium
1986,Dharampeth,21.13036,79.0549,10,Haze,Ring Road,Medium,2,Low
1987,Civil Lines,21.16783,79.07798,18,Clear,Flyover,Medium,2,Medium
1988,Trimurti Nagar,21.15128,79.06092,19,Rain,City Road,Medium,6,Medium
1989,Pratap Nagar,21.11789,79.0509,2,Haze,Highway,Medium,5,High
1990,Zero Mile,21.16122,79.08121,18,Clear,Junction,Low,5,Medium
1991,Itwari,21.1523,79.11172,13,Clear,Junction,Medium,4,Medium
1992,Sadar,21.14748,79.07765,18,Clear,Ring Road,Medium,3,Low
1993,Nandanvan,21.11595,79.11533,7,Rain,City Road,High,7,Medium
1994,Mankapur,21.12741,79.05222,13,Clear,Highway,Medium,5,Medium
1995,Nagpur Railway Stn,21.16048,79.08826,8,Rain,Junction,Low,5,Medium
1996,Ambazari,21.14,79.00244,12,Clear,City Road,Medium,4,Low
1997,Beltarodi,21.05738,79.0309,19,Clear,Urban,Low,3,Low
1998,Koradi,21.25899,79.00576,14,Haze,Junction,Low,0,Medium
1999,Butibori,20.95068,79.03784,10,Rain,Urban,Low,5,Low
2000,MIDC Hingna,21.075,79.004,22,Fog,Urban,Medium,6,High
